segment,date,direction,time,link,speed
I-10B,20160531,E,7-9AM,716028,66.0070922
I-10B,20160601,E,7-9AM,716028,65.39160839
I-10B,20160603,E,7-9AM,716028,65.54416961
I-10B,20160613,E,7-9AM,716028,66.35227273
I-10B,20160615,E,7-9AM,716028,65.71631206
I-10B,20160617,E,7-9AM,716028,64.66083916
I-10B,20170529,E,7-9AM,716028,68.04697987
I-10B,20170531,E,7-9AM,716028,65.91785714
I-10B,20170601,E,7-9AM,716028,66.89122807
I-10B,20170613,E,7-9AM,716028,65.62033898
I-10B,20170615,E,7-9AM,716028,66.27956989
I-10B,20160530,E,7-9AM,716067,69.01060071
I-10B,20160602,E,7-9AM,716067,36.70731707
I-10B,20160616,E,7-9AM,716067,69.75352113
I-10B,20170530,E,7-9AM,716067,64.22442244
I-10B,20170602,E,7-9AM,716067,66.02836879
I-10B,20170612,E,7-9AM,716067,68.57142857
I-10B,20170614,E,7-9AM,716067,67.17171717
I-10B,20170616,E,7-9AM,716067,32.88256228
I-10B,20160530,E,7-9AM,716069,49.46996466
I-10B,20160602,E,7-9AM,716069,49.79674797
I-10B,20160616,E,7-9AM,716069,47.57042254
I-10B,20170530,E,7-9AM,716069,0
I-10B,20170602,E,7-9AM,716069,0
I-10B,20170612,E,7-9AM,716069,0
I-10B,20170614,E,7-9AM,716069,0
I-10B,20170616,E,7-9AM,716069,0
I-10B,20160530,E,7-9AM,716072,65.80212014
I-10B,20160602,E,7-9AM,716072,38.36178862
I-10B,20160616,E,7-9AM,716072,65.15140845
I-10B,20170530,E,7-9AM,716072,62.0660066
I-10B,20170602,E,7-9AM,716072,60.70567376
I-10B,20170612,E,7-9AM,716072,61.90816327
I-10B,20170614,E,7-9AM,716072,63.14141414
I-10B,20170616,E,7-9AM,716072,31.25622776
I-10B,20160531,E,7-9AM,716075,49.57801418
I-10B,20160601,E,7-9AM,716075,52.3041958
I-10B,20160603,E,7-9AM,716075,48.33922261
I-10B,20160613,E,7-9AM,716075,48.43181818
I-10B,20160615,E,7-9AM,716075,47.57446809
I-10B,20160617,E,7-9AM,716075,49.81468531
I-10B,20170529,E,7-9AM,716075,65.46308725
I-10B,20170531,E,7-9AM,716075,61.97142857
I-10B,20170601,E,7-9AM,716075,61.24210526
I-10B,20170613,E,7-9AM,716075,63.39322034
I-10B,20170615,E,7-9AM,716075,62.72043011
I-10B,20160530,E,7-9AM,716078,66.73144876
I-10B,20160602,E,7-9AM,716078,31.56504065
I-10B,20160616,E,7-9AM,716078,63.3943662
I-10B,20170530,E,7-9AM,716078,60.5709571
I-10B,20170602,E,7-9AM,716078,61.57446809
I-10B,20170612,E,7-9AM,716078,63.31292517
I-10B,20170614,E,7-9AM,716078,62.77777778
I-10B,20170616,E,7-9AM,716078,30.85409253
I-10B,20160530,E,7-9AM,716081,0
I-10B,20160602,E,7-9AM,716081,30.92276423
I-10B,20160616,E,7-9AM,716081,0
I-10B,20170530,E,7-9AM,716081,57.98679868
I-10B,20170602,E,7-9AM,716081,62.85106383
I-10B,20170612,E,7-9AM,716081,63.15986395
I-10B,20170614,E,7-9AM,716081,62.64983165
I-10B,20170616,E,7-9AM,716081,31.40925267
I-10B,20160530,E,7-9AM,716085,0
I-10B,20160602,E,7-9AM,716085,0
I-10B,20160616,E,7-9AM,716085,0
I-10B,20170530,E,7-9AM,716085,56.330033
I-10B,20170602,E,7-9AM,716085,57.09219858
I-10B,20170612,E,7-9AM,716085,0
I-10B,20170614,E,7-9AM,716085,0
I-10B,20170616,E,7-9AM,716085,0
I-10B,20160530,E,7-9AM,716087,56.40282686
I-10B,20160602,E,7-9AM,716087,49.41463415
I-10B,20160616,E,7-9AM,716087,49.76408451
I-10B,20170530,E,7-9AM,716087,66.53465347
I-10B,20170602,E,7-9AM,716087,67.5177305
I-10B,20170612,E,7-9AM,716087,0
I-10B,20170614,E,7-9AM,716087,40.78114478
I-10B,20170616,E,7-9AM,716087,38.74021352
I-10B,20160530,E,7-9AM,716092,63.53710247
I-10B,20160602,E,7-9AM,716092,58.16666667
I-10B,20160616,E,7-9AM,716092,59.21478873
I-10B,20170530,E,7-9AM,716092,58.91419142
I-10B,20170602,E,7-9AM,716092,57.13120567
I-10B,20170612,E,7-9AM,716092,58.39455782
I-10B,20170614,E,7-9AM,716092,58.93265993
I-10B,20170616,E,7-9AM,716092,57.03558719
I-10B,20160530,E,7-9AM,716126,64.06360424
I-10B,20160602,E,7-9AM,716126,65.16260163
I-10B,20160616,E,7-9AM,716126,54.42957746
I-10B,20170530,E,7-9AM,716126,63.78877888
I-10B,20170602,E,7-9AM,716126,54.23758865
I-10B,20170612,E,7-9AM,716126,47.46938776
I-10B,20170614,E,7-9AM,716126,63.2020202
I-10B,20170616,E,7-9AM,716126,61.18505338
I-10B,20160531,E,7-9AM,716152,58.05319149
I-10B,20160601,E,7-9AM,716152,52.40909091
I-10B,20160603,E,7-9AM,716152,57.59010601
I-10B,20160613,E,7-9AM,716152,59
I-10B,20160615,E,7-9AM,716152,58.46099291
I-10B,20160617,E,7-9AM,716152,58.62937063
I-10B,20170529,E,7-9AM,716152,0
I-10B,20170531,E,7-9AM,716152,0
I-10B,20170601,E,7-9AM,716152,0
