segment,date,direction,time,link,speed
I-405A,20160530,N,7-9AM,716720,0
I-405A,20160530,N,7-9AM,716733,68.1599297
I-405A,20160530,N,7-9AM,716739,64.59753954
I-405A,20160530,N,7-9AM,717794,0
I-405A,20160530,N,7-9AM,717798,68.7486819
I-405A,20160530,N,7-9AM,717800,68.92091388
I-405A,20160530,N,7-9AM,717804,0
I-405A,20160530,N,7-9AM,717806,69.15465729
I-405A,20160530,N,7-9AM,717819,68.5254833
I-405A,20160530,N,7-9AM,767351,67.25483304
I-405A,20160530,N,7-9AM,767812,69.26186292
I-405A,20160530,N,7-9AM,771767,67.30404218
I-405A,20160530,N,7-9AM,771808,62.51493849
I-405A,20160530,N,7-9AM,775183,67.66783831
I-405A,20160530,N,7-9AM,716738,61.1142355
I-405A,20160530,N,7-9AM,717797,68.05272408
I-405A,20160530,N,7-9AM,717799,65.97363796
I-405A,20160530,N,7-9AM,717801,69.11950791
I-405A,20160530,N,7-9AM,717818,66.03163445
I-405A,20160530,N,7-9AM,717823,67.55536028
I-405A,20160530,N,7-9AM,717825,64.15114236
I-405A,20160530,N,7-9AM,717827,66.21616872
I-405A,20160530,N,7-9AM,767367,60.85061511
I-405A,20160530,N,7-9AM,775120,0
I-405A,20160530,N,7-9AM,775137,63.18980668
I-405A,20160530,N,7-9AM,775155,59.10193322
I-405A,20160530,N,7-9AM,775225,69.25834798
I-405A,20160530,N,7-9AM,775261,61.28822496
I-405A,20160531,N,7-9AM,716738,58.42680776
I-405A,20160531,N,7-9AM,717797,49.06525573
I-405A,20160531,N,7-9AM,717799,60.35626102
I-405A,20160531,N,7-9AM,717801,57.51675485
I-405A,20160531,N,7-9AM,717818,64.22045855
I-405A,20160531,N,7-9AM,717823,65.28571429
I-405A,20160531,N,7-9AM,717825,61.46560847
I-405A,20160531,N,7-9AM,717827,62.07054674
I-405A,20160531,N,7-9AM,767367,57.32451499
I-405A,20160531,N,7-9AM,775120,0
I-405A,20160531,N,7-9AM,775137,51.08112875
I-405A,20160531,N,7-9AM,775155,38.82539683
I-405A,20160531,N,7-9AM,775225,65.1957672
I-405A,20160531,N,7-9AM,775261,48.08641975
I-405A,20160531,N,7-9AM,716720,0
I-405A,20160531,N,7-9AM,716733,62.1675485
I-405A,20160531,N,7-9AM,716739,60.68430335
I-405A,20160531,N,7-9AM,717794,0
I-405A,20160531,N,7-9AM,717798,54.26455026
I-405A,20160531,N,7-9AM,717800,56.82716049
I-405A,20160531,N,7-9AM,717804,0
I-405A,20160531,N,7-9AM,717806,66.13932981
I-405A,20160531,N,7-9AM,717819,66.97707231
I-405A,20160531,N,7-9AM,767351,65.51851852
I-405A,20160531,N,7-9AM,767812,69.13580247
I-405A,20160531,N,7-9AM,771767,64.86419753
I-405A,20160531,N,7-9AM,771808,61.14285714
I-405A,20160531,N,7-9AM,775183,61.87477954
I-405A,20160601,N,7-9AM,716738,59.02097902
I-405A,20160601,N,7-9AM,717797,52.07342657
I-405A,20160601,N,7-9AM,717799,54.91958042
I-405A,20160601,N,7-9AM,717801,68.36363636
I-405A,20160601,N,7-9AM,717818,65.63986014
I-405A,20160601,N,7-9AM,717823,66.23426573
I-405A,20160601,N,7-9AM,717825,62.88111888
I-405A,20160601,N,7-9AM,717827,64.52797203
I-405A,20160601,N,7-9AM,767367,60.05594406
I-405A,20160601,N,7-9AM,775120,0
I-405A,20160601,N,7-9AM,775137,58.36363636
I-405A,20160601,N,7-9AM,775155,40.65384615
I-405A,20160601,N,7-9AM,775225,69.32517483
I-405A,20160601,N,7-9AM,775261,57.31118881
I-405A,20160601,N,7-9AM,716720,0
I-405A,20160601,N,7-9AM,716733,66.7027972
I-405A,20160601,N,7-9AM,716739,62.56993007
I-405A,20160601,N,7-9AM,717794,0
I-405A,20160601,N,7-9AM,717798,66.28321678
I-405A,20160601,N,7-9AM,717800,67.78321678
I-405A,20160601,N,7-9AM,717804,0
I-405A,20160601,N,7-9AM,717806,68.84265734
I-405A,20160601,N,7-9AM,717819,67.9020979
I-405A,20160601,N,7-9AM,767351,66.34615385
I-405A,20160601,N,7-9AM,767812,69.51048951
I-405A,20160601,N,7-9AM,771767,65.53146853
I-405A,20160601,N,7-9AM,771808,60.95104895
I-405A,20160601,N,7-9AM,775183,66.72727273
I-405A,20160602,N,7-9AM,716720,0
I-405A,20160602,N,7-9AM,716733,58.9073724
I-405A,20160602,N,7-9AM,716739,48.71455577
I-405A,20160602,N,7-9AM,717794,0
I-405A,20160602,N,7-9AM,717798,56.4952741
I-405A,20160602,N,7-9AM,717800,58.78449905
I-405A,20160602,N,7-9AM,717804,0
I-405A,20160602,N,7-9AM,717806,61.51417769
I-405A,20160602,N,7-9AM,717819,61.48204159
I-405A,20160602,N,7-9AM,767351,59.20982987
I-405A,20160602,N,7-9AM,767812,68.94139887
I-405A,20160602,N,7-9AM,771767,65.36483932
I-405A,20160602,N,7-9AM,771808,58.71266541
I-405A,20160602,N,7-9AM,775183,59.33837429
I-405A,20160602,N,7-9AM,716738,50.23440454
I-405A,20160602,N,7-9AM,717797,51.49338374
I-405A,20160602,N,7-9AM,717799,58.57655955
I-405A,20160602,N,7-9AM,717801,58.88090737
I-405A,20160602,N,7-9AM,717818,57.16068053
I-405A,20160602,N,7-9AM,717823,58.17202268
I-405A,20160602,N,7-9AM,717825,56.56521739
I-405A,20160602,N,7-9AM,717827,57.51795841
I-405A,20160602,N,7-9AM,767367,52.13799622
I-405A,20160602,N,7-9AM,775120,0
