segment,date,direction,time,link,speed
I-605,20160530,N,7-9AM,716760,67.67491166
I-605,20160602,N,7-9AM,716760,66.36585366
I-605,20160616,N,7-9AM,716760,66.45070423
I-605,20170530,N,7-9AM,716760,66.38283828
I-605,20170602,N,7-9AM,716760,56.46099291
I-605,20170612,N,7-9AM,716760,62.56122449
I-605,20170614,N,7-9AM,716760,55.97643098
I-605,20170616,N,7-9AM,716760,65.5658363
I-605,20160530,N,7-9AM,716784,68.59363958
I-605,20160602,N,7-9AM,716784,52.24390244
I-605,20160616,N,7-9AM,716784,61.3556338
I-605,20170530,N,7-9AM,716784,27.06930693
I-605,20170602,N,7-9AM,716784,28.81914894
I-605,20170612,N,7-9AM,716784,29.18027211
I-605,20170614,N,7-9AM,716784,25.18855219
I-605,20170616,N,7-9AM,716784,38.15658363
I-605,20160530,N,7-9AM,716788,66.60070671
I-605,20160602,N,7-9AM,716788,38.19918699
I-605,20160616,N,7-9AM,716788,56.23591549
I-605,20170530,N,7-9AM,716788,43.78547855
I-605,20170602,N,7-9AM,716788,49.68439716
I-605,20170612,N,7-9AM,716788,48.02380952
I-605,20170614,N,7-9AM,716788,38.64309764
I-605,20170616,N,7-9AM,716788,56.113879
I-605,20160531,N,7-9AM,716800,69.25531915
I-605,20160601,N,7-9AM,716800,68.28671329
I-605,20160603,N,7-9AM,716800,68.51590106
I-605,20160613,N,7-9AM,716800,68.67424242
I-605,20160615,N,7-9AM,716800,68.75886525
I-605,20160617,N,7-9AM,716800,69.51048951
I-605,20170529,N,7-9AM,716800,69.29530201
I-605,20170531,N,7-9AM,716800,67.25
I-605,20170601,N,7-9AM,716800,68.28070175
I-605,20170613,N,7-9AM,716800,68.10169492
I-605,20170615,N,7-9AM,716800,67.49103943
I-605,20160531,N,7-9AM,716819,53.83333333
I-605,20160601,N,7-9AM,716819,53.43356643
I-605,20160603,N,7-9AM,716819,50.44876325
I-605,20160613,N,7-9AM,716819,54.24621212
I-605,20160615,N,7-9AM,716819,50.74113475
I-605,20160617,N,7-9AM,716819,49.02097902
I-605,20170529,N,7-9AM,716819,69.06040268
I-605,20170531,N,7-9AM,716819,69
I-605,20170601,N,7-9AM,716819,68.03508772
I-605,20170613,N,7-9AM,716819,68.57627119
I-605,20170615,N,7-9AM,716819,69.49820789
I-605,20160530,N,7-9AM,716829,0
I-605,20160602,N,7-9AM,716829,0
I-605,20160616,N,7-9AM,716829,0
I-605,20170530,N,7-9AM,716829,0
I-605,20170602,N,7-9AM,716829,0
I-605,20170612,N,7-9AM,716829,0
I-605,20170614,N,7-9AM,716829,0
I-605,20170616,N,7-9AM,716829,0
I-605,20160530,N,7-9AM,716834,0
I-605,20160602,N,7-9AM,716834,46.08943089
I-605,20160616,N,7-9AM,716834,0
I-605,20170530,N,7-9AM,716834,49.9669967
I-605,20170602,N,7-9AM,716834,51.03191489
I-605,20170612,N,7-9AM,716834,53.52380952
I-605,20170614,N,7-9AM,716834,47.0976431
I-605,20170616,N,7-9AM,716834,50.81494662
I-605,20160530,N,7-9AM,716841,68.92226148
I-605,20160602,N,7-9AM,716841,66.98780488
I-605,20160616,N,7-9AM,716841,39.6971831
I-605,20170530,N,7-9AM,716841,65.55775578
I-605,20170602,N,7-9AM,716841,66.17375887
I-605,20170612,N,7-9AM,716841,65.10884354
I-605,20170614,N,7-9AM,716841,66.996633
I-605,20170616,N,7-9AM,716841,66.12099644
I-605,20160530,N,7-9AM,717143,67.31095406
I-605,20160602,N,7-9AM,717143,62.40650407
I-605,20160616,N,7-9AM,717143,63.07394366
I-605,20170530,N,7-9AM,717143,63.14851485
I-605,20170602,N,7-9AM,717143,54.31914894
I-605,20170612,N,7-9AM,717143,58.41156463
I-605,20170614,N,7-9AM,717143,49.72053872
I-605,20170616,N,7-9AM,717143,61.3594306
I-605,20160530,N,7-9AM,717831,68.19787986
I-605,20160602,N,7-9AM,717831,65.70731707
I-605,20160616,N,7-9AM,717831,66.24295775
I-605,20170530,N,7-9AM,717831,66.07590759
I-605,20170602,N,7-9AM,717831,63.95390071
I-605,20170612,N,7-9AM,717831,0
I-605,20170614,N,7-9AM,717831,0
I-605,20170616,N,7-9AM,717831,0
I-605,20160531,N,7-9AM,717836,64.78014184
I-605,20160601,N,7-9AM,717836,64.74125874
I-605,20160603,N,7-9AM,717836,65.48763251
I-605,20160613,N,7-9AM,717836,65.97727273
I-605,20160615,N,7-9AM,717836,65.5248227
I-605,20160617,N,7-9AM,717836,63.77972028
I-605,20170529,N,7-9AM,717836,67.70469799
I-605,20170531,N,7-9AM,717836,61.075
I-605,20170601,N,7-9AM,717836,63.92982456
I-605,20170613,N,7-9AM,717836,0
I-605,20170615,N,7-9AM,717836,0
I-605,20160530,N,7-9AM,717839,66.2614841
I-605,20160602,N,7-9AM,717839,65.93902439
I-605,20160616,N,7-9AM,717839,65.91549296
I-605,20170530,N,7-9AM,717839,66.5709571
I-605,20170602,N,7-9AM,717839,58.53546099
I-605,20170612,N,7-9AM,717839,0
I-605,20170614,N,7-9AM,717839,0
I-605,20170616,N,7-9AM,717839,0
I-605,20160530,N,7-9AM,717844,69.41342756
I-605,20160602,N,7-9AM,717844,69.3699187
