segment,date,direction,time,link,speed
I-105,20160530,E,7-9AM,716414,67.50176678
I-105,20160602,E,7-9AM,716414,56.19918699
I-105,20160616,E,7-9AM,716414,58.6056338
I-105,20170530,E,7-9AM,716414,0
I-105,20170602,E,7-9AM,716414,0
I-105,20170612,E,7-9AM,716414,0
I-105,20170614,E,7-9AM,716414,0
I-105,20170616,E,7-9AM,716414,0
I-105,20160531,E,7-9AM,716419,0
I-105,20160601,E,7-9AM,716419,0
I-105,20160603,E,7-9AM,716419,0
I-105,20160613,E,7-9AM,716419,0
I-105,20160615,E,7-9AM,716419,0
I-105,20160617,E,7-9AM,716419,0
I-105,20170529,E,7-9AM,716419,64.90268456
I-105,20170531,E,7-9AM,716419,62.10357143
I-105,20170601,E,7-9AM,716419,63.25614035
I-105,20170613,E,7-9AM,716419,63.70508475
I-105,20170615,E,7-9AM,716419,61.5125448
I-105,20160530,E,7-9AM,716421,0
I-105,20160602,E,7-9AM,716421,0
I-105,20160616,E,7-9AM,716421,0
I-105,20170530,E,7-9AM,716421,0
I-105,20170602,E,7-9AM,716421,0
I-105,20170612,E,7-9AM,716421,0
I-105,20170614,E,7-9AM,716421,0
I-105,20170616,E,7-9AM,716421,0
I-105,20160531,E,7-9AM,716424,63.02836879
I-105,20160601,E,7-9AM,716424,62.86363636
I-105,20160603,E,7-9AM,716424,62.34275618
I-105,20160613,E,7-9AM,716424,62.8219697
I-105,20160615,E,7-9AM,716424,62.87588652
I-105,20160617,E,7-9AM,716424,62.76223776
I-105,20170529,E,7-9AM,716424,65.3590604
I-105,20170531,E,7-9AM,716424,60.08928571
I-105,20170601,E,7-9AM,716424,61.53333333
I-105,20170613,E,7-9AM,716424,62.15932203
I-105,20170615,E,7-9AM,716424,60.49820789
I-105,20160530,E,7-9AM,716427,66.76678445
I-105,20160602,E,7-9AM,716427,64.69918699
I-105,20160616,E,7-9AM,716427,65.61619718
I-105,20170530,E,7-9AM,716427,0
I-105,20170602,E,7-9AM,716427,0
I-105,20170612,E,7-9AM,716427,8.782312925
I-105,20170614,E,7-9AM,716427,0
I-105,20170616,E,7-9AM,716427,0
I-105,20160531,E,7-9AM,716431,65.08510638
I-105,20160601,E,7-9AM,716431,64.92307692
I-105,20160603,E,7-9AM,716431,63.71024735
I-105,20160613,E,7-9AM,716431,64.93939394
I-105,20160615,E,7-9AM,716431,65.12411348
I-105,20160617,E,7-9AM,716431,63.3006993
I-105,20170529,E,7-9AM,716431,65.10402685
I-105,20170531,E,7-9AM,716431,62.73571429
I-105,20170601,E,7-9AM,716431,61.60350877
I-105,20170613,E,7-9AM,716431,62.31525424
I-105,20170615,E,7-9AM,716431,64.44086022
I-105,20160531,E,7-9AM,716433,65.03900709
I-105,20160601,E,7-9AM,716433,64.82867133
I-105,20160603,E,7-9AM,716433,63.98586572
I-105,20160613,E,7-9AM,716433,63.98106061
I-105,20160615,E,7-9AM,716433,64.04609929
I-105,20160617,E,7-9AM,716433,64.8006993
I-105,20170529,E,7-9AM,716433,67.80872483
I-105,20170531,E,7-9AM,716433,66.02142857
I-105,20170601,E,7-9AM,716433,64.95087719
I-105,20170613,E,7-9AM,716433,63.91186441
I-105,20170615,E,7-9AM,716433,64.85663082
I-105,20160531,E,7-9AM,716440,69.0070922
I-105,20160601,E,7-9AM,716440,68.77622378
I-105,20160603,E,7-9AM,716440,69.25795053
I-105,20160613,E,7-9AM,716440,69.20454545
I-105,20160615,E,7-9AM,716440,68.75886525
I-105,20160617,E,7-9AM,716440,67.7972028
I-105,20170529,E,7-9AM,716440,67.18120805
I-105,20170531,E,7-9AM,716440,69
I-105,20170601,E,7-9AM,716440,68.03508772
I-105,20170613,E,7-9AM,716440,69.05084746
I-105,20170615,E,7-9AM,716440,68.74551971
I-105,20160531,E,7-9AM,716442,62.29787234
I-105,20160601,E,7-9AM,716442,61.73776224
I-105,20160603,E,7-9AM,716442,60.45936396
I-105,20160613,E,7-9AM,716442,0
