segment,date,direction,time,link,speed
I-10A,20160530,E,7-9AM,716036,60.40282686
I-10A,20160602,E,7-9AM,716036,43.60569106
I-10A,20160616,E,7-9AM,716036,29.83802817
I-10A,20170530,E,7-9AM,716036,58.15181518
I-10A,20170602,E,7-9AM,716036,56.97163121
I-10A,20170612,E,7-9AM,716036,51.43197279
I-10A,20170614,E,7-9AM,716036,51.85521886
I-10A,20170616,E,7-9AM,716036,56.66903915
I-10A,20160530,E,7-9AM,716047,69.50530035
I-10A,20160602,E,7-9AM,716047,68.29268293
I-10A,20160616,E,7-9AM,716047,0
I-10A,20170530,E,7-9AM,716047,69.5379538
I-10A,20170602,E,7-9AM,716047,70
I-10A,20170612,E,7-9AM,716047,70
I-10A,20170614,E,7-9AM,716047,69.05723906
I-10A,20170616,E,7-9AM,716047,69.75088968
I-10A,20160530,E,7-9AM,716050,69.50530035
I-10A,20160602,E,7-9AM,716050,69.43089431
I-10A,20160616,E,7-9AM,716050,69.75352113
I-10A,20170530,E,7-9AM,716050,69.30693069
I-10A,20170602,E,7-9AM,716050,69.75177305
I-10A,20170612,E,7-9AM,716050,70
I-10A,20170614,E,7-9AM,716050,69.52861953
I-10A,20170616,E,7-9AM,716050,69.75088968
I-10A,20160531,E,7-9AM,716057,69.25531915
I-10A,20160601,E,7-9AM,716057,68.53146853
I-10A,20160603,E,7-9AM,716057,69.25795053
I-10A,20160613,E,7-9AM,716057,0
I-10A,20160615,E,7-9AM,716057,0
I-10A,20160617,E,7-9AM,716057,0
I-10A,20170529,E,7-9AM,716057,0
I-10A,20170531,E,7-9AM,716057,0
I-10A,20170601,E,7-9AM,716057,0
I-10A,20170613,E,7-9AM,716057,0
I-10A,20170615,E,7-9AM,716057,0
I-10A,20160530,E,7-9AM,717008,0
I-10A,20160602,E,7-9AM,717008,0
I-10A,20160616,E,7-9AM,717008,0
I-10A,20170530,E,7-9AM,717008,0
I-10A,20170602,E,7-9AM,717008,0
I-10A,20170612,E,7-9AM,717008,0
I-10A,20170614,E,7-9AM,717008,0
I-10A,20170616,E,7-9AM,717008,0
I-10A,20160531,E,7-9AM,717009,30.71276596
I-10A,20160601,E,7-9AM,717009,28.65384615
I-10A,20160603,E,7-9AM,717009,13.85159011
