segment,date,direction,time,link,speed
I-210B,20160530,E,7-9AM,716142,58.61837456
I-210B,20160602,E,7-9AM,716142,45.46747967
I-210B,20160616,E,7-9AM,716142,60.05633803
I-210B,20170530,E,7-9AM,716142,53.33663366
I-210B,20170602,E,7-9AM,716142,49.72695035
I-210B,20170612,E,7-9AM,716142,52.63945578
I-210B,20170614,E,7-9AM,716142,51.16835017
I-210B,20170616,E,7-9AM,716142,51.89323843
I-210B,20160531,E,7-9AM,716143,0
I-210B,20160601,E,7-9AM,716143,0
I-210B,20160603,E,7-9AM,716143,0
I-210B,20160613,E,7-9AM,716143,58.8219697
I-210B,20160615,E,7-9AM,716143,58.83687943
I-210B,20160617,E,7-9AM,716143,57.8006993
I-210B,20170529,E,7-9AM,716143,62.07718121
I-210B,20170531,E,7-9AM,716143,59.48214286
I-210B,20170601,E,7-9AM,716143,55.2245614
I-210B,20170613,E,7-9AM,716143,60.03728814
I-210B,20170615,E,7-9AM,716143,60.23655914
I-210B,20160530,E,7-9AM,717631,65.80212014
I-210B,20160602,E,7-9AM,717631,63.6504065
I-210B,20160616,E,7-9AM,717631,63.6056338
I-210B,20170530,E,7-9AM,717631,63.72937294
I-210B,20170602,E,7-9AM,717631,63.65957447
I-210B,20170612,E,7-9AM,717631,63.98979592
I-210B,20170614,E,7-9AM,717631,63.68686869
I-210B,20170616,E,7-9AM,717631,63.82918149
I-210B,20160530,E,7-9AM,717633,67.00353357
I-210B,20160602,E,7-9AM,717633,58.71544715
I-210B,20160616,E,7-9AM,717633,57.53873239
I-210B,20170530,E,7-9AM,717633,0
I-210B,20170602,E,7-9AM,717633,0
I-210B,20170612,E,7-9AM,717633,0
I-210B,20170614,E,7-9AM,717633,0
I-210B,20170616,E,7-9AM,717633,0
I-210B,20160530,E,7-9AM,717635,62.62190813
I-210B,20160602,E,7-9AM,717635,54.22764228
I-210B,20160616,E,7-9AM,717635,54.56690141
I-210B,20170530,E,7-9AM,717635,55.21782178
I-210B,20170602,E,7-9AM,717635,54.04255319
I-210B,20170612,E,7-9AM,717635,55.62585034
I-210B,20170614,E,7-9AM,717635,50.90572391
I-210B,20170616,E,7-9AM,717635,52.92882562
I-210B,20160531,E,7-9AM,717638,58.39361702
I-210B,20160601,E,7-9AM,717638,57.25174825
I-210B,20160603,E,7-9AM,717638,55.96466431
I-210B,20160613,E,7-9AM,717638,58.35606061
I-210B,20160615,E,7-9AM,717638,56.19503546
I-210B,20160617,E,7-9AM,717638,56.18181818
I-210B,20170529,E,7-9AM,717638,62.53020134
I-210B,20170531,E,7-9AM,717638,55.89285714
I-210B,20170601,E,7-9AM,717638,56.13684211
I-210B,20170613,E,7-9AM,717638,56.58983051
I-210B,20170615,E,7-9AM,717638,54.58064516
I-210B,20160530,E,7-9AM,717640,63.65724382
I-210B,20160602,E,7-9AM,717640,57.46341463
I-210B,20160616,E,7-9AM,717640,57.83098592
I-210B,20170530,E,7-9AM,717640,68.96369637
I-210B,20170602,E,7-9AM,717640,69.4893617
I-210B,20170612,E,7-9AM,717640,67.14965986
I-210B,20170614,E,7-9AM,717640,66.01010101
I-210B,20170616,E,7-9AM,717640,69.22775801
I-210B,20160530,E,7-9AM,717646,65.36749117
I-210B,20160602,E,7-9AM,717646,62.14634146
I-210B,20160616,E,7-9AM,717646,62.05985915
I-210B,20170530,E,7-9AM,717646,61.89768977
I-210B,20170602,E,7-9AM,717646,60.91134752
I-210B,20170612,E,7-9AM,717646,60.67687075
I-210B,20170614,E,7-9AM,717646,60.82828283
I-210B,20170616,E,7-9AM,717646,61.01067616
I-210B,20160531,E,7-9AM,717650,64.06382979
I-210B,20160601,E,7-9AM,717650,63.48601399
I-210B,20160603,E,7-9AM,717650,61.6254417
I-210B,20160613,E,7-9AM,717650,63.72727273
I-210B,20160615,E,7-9AM,717650,62.66312057
I-210B,20160617,E,7-9AM,717650,62.38461538
I-210B,20170529,E,7-9AM,717650,62.34899329
I-210B,20170531,E,7-9AM,717650,59.10714286
I-210B,20170601,E,7-9AM,717650,40.74035088
I-210B,20170613,E,7-9AM,717650,56.37627119
I-210B,20170615,E,7-9AM,717650,39.67741935
I-210B,20160531,E,7-9AM,717654,59.82624113
I-210B,20160601,E,7-9AM,717654,58.74475524
I-210B,20160603,E,7-9AM,717654,56.44169611
I-210B,20160613,E,7-9AM,717654,59.43939394
