segment,date,direction,time,link,speed
SR-101,20160530,N,7-9AM,716337,70
SR-101,20160602,N,7-9AM,716337,69.71544715
SR-101,20160616,N,7-9AM,716337,70
SR-101,20170530,N,7-9AM,716337,0
SR-101,20170602,N,7-9AM,716337,37.65957447
SR-101,20170612,N,7-9AM,716337,40.24489796
SR-101,20170614,N,7-9AM,716337,46.93939394
SR-101,20170616,N,7-9AM,716337,20.80427046
SR-101,20160530,N,7-9AM,716359,0
SR-101,20160602,N,7-9AM,716359,0
SR-101,20160616,N,7-9AM,716359,0
SR-101,20170530,N,7-9AM,716359,0
SR-101,20170602,N,7-9AM,716359,0
SR-101,20170612,N,7-9AM,716359,0
SR-101,20170614,N,7-9AM,716359,0
SR-101,20170616,N,7-9AM,716359,0
SR-101,20160531,N,7-9AM,717445,70
SR-101,20160601,N,7-9AM,717445,70
SR-101,20160603,N,7-9AM,717445,7.667844523
SR-101,20160613,N,7-9AM,717445,70
SR-101,20160615,N,7-9AM,717445,70
SR-101,20160617,N,7-9AM,717445,69.75524476
SR-101,20170529,N,7-9AM,717445,0
SR-101,20170531,N,7-9AM,717445,0
SR-101,20170601,N,7-9AM,717445,0
SR-101,20170613,N,7-9AM,717445,25.6440678
SR-101,20170615,N,7-9AM,717445,24.60573477
SR-101,20160531,N,7-9AM,717447,70
SR-101,20160601,N,7-9AM,717447,70
SR-101,20160603,N,7-9AM,717447,7.667844523
SR-101,20160613,N,7-9AM,717447,70
SR-101,20160615,N,7-9AM,717447,70
SR-101,20160617,N,7-9AM,717447,70
SR-101,20170529,N,7-9AM,717447,0
SR-101,20170531,N,7-9AM,717447,0
SR-101,20170601,N,7-9AM,717447,0
SR-101,20170613,N,7-9AM,717447,35.68474576
SR-101,20170615,N,7-9AM,717447,32.32258065
SR-101,20160531,N,7-9AM,717452,70
SR-101,20160601,N,7-9AM,717452,70
SR-101,20160603,N,7-9AM,717452,7.667844523
SR-101,20160613,N,7-9AM,717452,70
SR-101,20160615,N,7-9AM,717452,70
SR-101,20160617,N,7-9AM,717452,70
