segment,direction,link,lon,lat
I-405A,N,771767,-118.472099,34.255476
I-405A,N,771808,-118.47213,34.249321
I-405A,N,717827,-118.47292,34.236034
I-405A,N,717825,-118.473074,34.22164
I-405A,N,767367,-118.473111,34.212166
I-405A,N,717823,-118.473255,34.202638
I-405A,N,717819,-118.474071,34.187843
I-405A,N,767351,-118.470218,34.180219
I-405A,N,717818,-118.467528,34.172195
I-405A,N,767812,-118.468694,34.167832
I-405A,N,775225,-118.469376,34.147962
I-405A,N,716739,-118.471264,34.142186
I-405A,N,716738,-118.471263,34.139113
I-405A,N,717806,-118.477012,34.124314
I-405A,N,775120,-118.480125,34.120413
I-405A,N,716733,-118.48158,34.110568
I-405A,N,775183,-118.477151,34.10314
I-405A,N,717804,-118.476047,34.094782
I-405A,N,775137,-118.475188,34.088887
I-405A,N,717801,-118.469907,34.077251
I-405A,N,717800,-118.465871,34.072019
I-405A,N,717799,-118.461608,34.067222
I-405A,N,775261,-118.45817,34.063342
I-405A,N,717798,-118.452263,34.056074
I-405A,N,775155,-118.448756,34.05027
I-405A,N,717797,-118.44716,34.047688
I-405A,N,716720,-118.442242,34.04201
I-405A,N,717794,-118.437938,34.035704
I-405A,S,717829,-118.472359,34.258576
I-405A,S,717828,-118.47238,34.25698
I-405A,S,771807,-118.472395,34.24932
I-405A,S,768626,-118.473147,34.236017
I-405A,S,717826,-118.47318,34.235001
I-405A,S,717824,-118.473303,34.22078
I-405A,S,767366,-118.473408,34.212164
I-405A,S,737529,-118.473519,34.202638
I-405A,S,717821,-118.47361,34.201117
I-405A,S,765273,-118.474371,34.18949
I-405A,S,765265,-118.47395,34.185288
I-405A,S,767350,-118.470449,34.180108
I-405A,S,767053,-118.467753,34.170913
I-405A,S,765171,-118.468959,34.167886
I-405A,S,717816,-118.4686,34.15562
I-405A,S,717809,-118.46974,34.148059
I-405A,S,764754,-118.471558,34.142292
I-405A,S,717807,-118.471043,34.139113
I-405A,S,718315,-118.478728,34.122573
I-405A,S,775121,-118.48039,34.120577
I-405A,S,718314,-118.481743,34.110437
I-405A,S,775184,-118.477416,34.103139
I-405A,S,718312,-118.476688,34.095819
I-405A,S,775136,-118.475452,34.088886
I-405A,S,718310,-118.467353,34.073625
I-405A,S,775239,-118.465977,34.071858
I-405A,S,775249,-118.461823,34.067148
I-405A,S,718308,-118.458389,34.063194
I-405A,S,718304,-118.453429,34.057207
I-405A,S,718302,-118.451073,34.054368
I-405A,S,775156,-118.448756,34.050215
I-405A,S,718300,-118.446433,34.046595
I-405A,S,716719,-118.442407,34.04188
I-405A,S,717795,-118.438157,34.035598
I-405A,S,775165,-118.436552,34.033305
I-405B,N,768969,-118.433107,34.030845
I-405B,N,718500,-118.429852,34.026762
I-405B,N,772455,-118.425434,34.021282
I-405B,N,716714,-118.422478,34.017528
I-405B,N,772437,-118.418991,34.013171
I-405B,N,717790,-118.417479,34.011157
I-405B,N,717787,-118.411239,34.003299
I-405B,N,768643,-118.407138,33.998098
I-405B,N,718292,-118.401142,33.990485
I-405B,N,769496,-118.400367,33.989602
I-405B,N,718291,-118.39423,33.981743
I-405B,N,771969,-118.388236,33.977221
I-405B,N,717779,-118.377764,33.971841
I-405B,N,764583,-118.370621,33.966144
I-405B,N,717777,-118.369793,33.96351
I-405B,N,717776,-118.369262,33.961187
I-405B,N,769228,-118.369156,33.958678
I-405B,N,761492,-118.36831,33.946605
I-405B,N,761482,-118.368294,33.943746
I-405B,N,759427,-118.368282,33.935638
I-405B,N,716694,-118.368733,33.922518
I-405B,N,761455,-118.369768,33.918035
I-405B,N,717769,-118.370335,33.912098
I-405B,N,716689,-118.37029,33.907645
I-405B,N,717765,-118.370294,33.902885
I-405B,N,717763,-118.370328,33.900108
I-405B,N,717760,-118.36324,33.892441
I-405B,N,717758,-118.359508,33.889777
I-405B,N,717755,-118.351038,33.883688
I-405B,N,717752,-118.34488,33.876829
I-405B,N,717750,-118.342941,33.874083
I-405B,N,718267,-118.335334,33.867324
I-405B,N,718266,-118.325416,33.864373
I-405B,N,716670,-118.317951,33.862123
I-405B,N,717742,-118.299161,33.859916
I-405B,N,717744,-118.307284,33.859903
